"Section";"Numero";"Ville";"Nom";"Adresse";"Email";"Site.web";"Capacité";"Logements";"Page";"year";"lat";"lon"
"Clubs Aktiv Plus";"4.1";"ALZINGEN";"Club Haus Am Sitert";"1, rue Jos Paquet, L-5872 ALZINGEN / HESPERANGE";"info@amsaitert.lu";"www.clubhaiser.lu; www.amsaitert.lu";"";"";38;2024;"49.5734202";"6.1638624"
"Clubs Aktiv Plus";"4.2";"BASCHLEIDEN";"Uewersauer";"39, rue Flebour, L-9633 BASCHLEIDEN";"clubuewersauer@inter-actions.lu";"www.clubuewersauer.lu";"";"";38;2024;"49.9007376";"5.8104052"
"Clubs Aktiv Plus";"4.3";"BERCHEM";"Eist Heem";"54, rue Oscar Romero, L-3321 BERCHEM";"contact@eistheem.lu";"www.eistheem.lu";"";"";38;2024;"49.5414522";"6.1322484"
"Clubs Aktiv Plus";"4.4";"BERELDANGE";"Club Haus Am Becheler";"15a, Am Becheler, L-7213 BERELDANGE";"becheler@50-plus.lu";"www.clubhaiser.lu";"";"";38;2024;"49.6539751";"6.1254679"
"Clubs Aktiv Plus";"4.5";"BETTEMBOURG";"De Forum";"41, route de Luxembourg, L-3253 BETTEMBOURG";"deforum@elisabeth.lu";"www.deforum.lu";"";"";39;2024;"49.5215303";"6.0982773"
"Clubs Aktiv Plus";"4.6";"CAPELLEN";"Club Haus am Brill";"51, route d'Arlon, L-8310 CAPELLEN";"clubhaus@mamer.lu";"www.clubhaiser.lu; www.clubhausambrill.lu";"";"";39;2024;"49.6452954";"5.9872145"
"Clubs Aktiv Plus";"4.7";"CONTERN";"Syrdall";"1, Square Peter Dussmann, L-5324 CONTERN";"syrdall@clubsyrdall.lu";"www.syrdallheem.lu";"";"";39;2024;"49.6020576";"6.2195457"
"Clubs Aktiv Plus";"4.8";"DIFFERDANGE";"Prnzebierg";"27-29, rue Michel Rodange, L-4660 DIFFERDANGE";"info.prenzebierg@differdange.lu";"www.clubprenzebierg.lu";"";"";39;2024;"49.5241204";"5.8911334"
"Clubs Aktiv Plus";"4.9";"DUDELANGE";"Club Aktiv+ Diddeleng";"48, rue de la Libration, L-3511 DUDELANGE";"info@schwaarzewee.lu";"www.schwaarzewee.lu";"";"";40;2024;"49.4765155";"6.0842924"
"Clubs Aktiv Plus";"4.1";"ESCH-SUR-ALZETTE";"Mosaque Club";"31, rue Lon Metz, L-4238 ESCH-SUR-ALZETTE";"mosaique-club@croix-rouge.lu";"www.help.lu";"";"";40;2024;"49.5031975";"5.9860157"
"Clubs Aktiv Plus";"4.11";"ETTELBRUCK";"Nordstad Aktiv+";"Rue de l'cole agricole (Centre Kennedy), L-9016 ETTELBRUCK";"nordstad@inter-actions.lu";"www.vital-an-aktiv.lu";"";"";40;2024;"49.8499183";"6.1032349"
"Clubs Aktiv Plus";"4.12";"HUPPERDANGE";"Club Haus op der Heed";"2, Kaesfurterstross, L-9755 HUPPERDANGE";"info@opderheed.lu";"www.clubhaiser.lu; www.opderheed.lu";"";"";40;2024;"50.0959";"6.05718"
"Clubs Aktiv Plus";"4.13";"BEIDWEILER";"Club Aktiv Plus An der Loupescht";"2, rue de l'cole, L-6235 BEIDWEILER";"club-loupescht@croix-rouge.lu";"www.help.lu";"";"";41;2024;"49.7287605";"6.3007715"
"Clubs Aktiv Plus";"4.14";"KEHLEN";"Kielen";"2, rue de Keispelt, L-8282 KEHLEN";"";"www.kehlen.lu";"";"";41;2024;"49.6687373";"6.0348054"
"Clubs Aktiv Plus";"4.15";"LORENTZWEILER";"Uelzechtdall";"10, rue des Martyrs, L-7375 LORENTZWEILER";"secretariat@cud.lu";"www.cud.lu";"";"";41;2024;"49.7011083";"6.1432912"
"Clubs Aktiv Plus";"4.16";"MONDERCANGE";"A Bosselesch";"1, rue de Limpach, L-3932 MONDERCANGE";"info@gim.lu";"www.abosselesch.lu";"";"";41;2024;"49.5326028";"5.9866401"
"Clubs Aktiv Plus";"4.17";"REDANGE";"Club Atertdall";"11, Grand-Rue, L-8510 REDANGE/ATTERT";"club-atertdall@croix-rouge.lu";"www.help.lu";"";"";42;2024;"49.76492";"5.8906364"
"Clubs Aktiv Plus";"4.18";"REMICH";"Club Wlle Win";"1, rue Neuve, L-5560 REMICH";"clubwellewain@inter-actions.lu";"www.inter-actions.lu";"";"";42;2024;"49.5438183";"6.3671426"
"Clubs Aktiv Plus";"4.19";"ROSPORT";"Club Haus Bien Sr(e)";"9, rue du Pont, L-6580 ROSPORT";"info@biensure.lu";"www.clubhaiser.lu";"";"";42;2024;"49.8053032";"6.504721"
"Clubs Aktiv Plus";"4.2";"RUMELANGE";"Club Haus an de Sauerwisen";"6, rue de la Fontaine, L-3726 RUMELANGE";"sauerwisen@pt.lu";"www.clubhaiser.lu; www.sauerwisen.lu";"";"";42;2024;"49.4621438";"6.0295539"
"Clubs Aktiv Plus";"4.21";"SCHIFFLANGE";"Club Haus Beim Kiosk";"11-15, rue C.M. Spoo, L-3876 SCHIFFLANGE";"info@beimkiosk.lu";"www.clubhaiser.lu; www.beimkiosk.lu";"";"";43;2024;"49.5048426";"6.0141034"
"Clubs Aktiv Plus";"4.22";"Strassen";"Aktiv Plus Stroossen";"Centre Barbl, 203, route d'Arlon, L-8011 Strassen";"clubsenior@strassen.lu";"www.sodexoseniors.lu";"";"";43;2024;"49.6200745";"6.0721085"
"Clubs Aktiv Plus";"4.23";"WASSERBILLIG";"Club Muselheem";"12, rue St Martin, L-6635 WASSERBILLIG";"club-muselheem.croix-rouge@help.lu";"www.help.lu";"";"";43;2024;"49.7147456";"6.5007184"
