"Section";"Numero";"Ville";"Nom";"Adresse";"Email";"Site.web";"Capacité";"Logements";"Page";"year";"lat";"lon"
"Centres de jour";"3.1";"BASCHARAGE";"Foyer Liewensfreed";"17, op Zaemer, L-4959 BASCHARAGE";"";"www.novelia.lu";"12 chaises";"";27;2024;"49.5626901";"5.9339315"
"Centres de jour";"3.2";"BEAUFORT";"Foyer de jour  Petite Suisse";"89A, Grand-Rue, L-6310 BEAUFORT";"beaufort@paiperleck.lu";"www.paiperleck.lu";"11 chaises";"";27;2024;"49.8415977";"6.2869361"
"Centres de jour";"3.3";"BETTEMBOURG";"Foyer  Edengreen";"21, rue Michel Lentz, L-2151 BETTEMBOURG";"CPG.Bettembourg@paiperleck.lu";"www.paiperleck.lu";"18 chaises";"";27;2024;"49.5218";"6.10114"
"Centres de jour";"3.4";"BISSEN";"Am Park";"4-10, an der Bli, L-7796 BISSEN";"bissen@paiperleck.lu";"www.paiperleck.lu";"24 chaises";"";27;2024;"49.7893224";"6.0638078"
"Centres de jour";"3.5";"CANACH";"Foyer de jour  Am Wngert";"51, rue de Lenningen, L-5411 CANACH";"info@paiperleck.lu";"www.paiperleck.lu";"24 chaises";"";28;2024;"49.6099861";"6.3301859"
"Centres de jour";"3.6";"CONSDORF";"Foyer Burgkapp";"4-5, rue Burgkapp, L-6211 CONSDORF";"consdorf@zitha.lu";"www.zithasenior.lu";"12 chaises";"";28;2024;"49.7804161";"6.3367733"
"Centres de jour";"3.7";"CONTERN";"Foyer de jour Op der Conter Heed";"11, rue de Syren, L-5316 CONTERN";"contern@zitha.lu";"www.zithasenior.lu";"10 chaises";"";28;2024;"49.5824688";"6.2252668"
"Centres de jour";"3.8";"DAHL";"Foyer de jour Gnzegold";"1, Daehlerbach, L-9644 DAHL";"foyer.dahl@alzheimer.lu";"www.alzheimer.lu";"14 chaises";"";28;2024;"49.9344552";"5.9751952"
"Centres de jour";"3.9";"DUDELANGE";"Centre de jour Dudelange";"150, rue de la Libration, L-3511 DUDELANGE";"cjdudelange.croix-rouge@help.lu";"www.croix-rouge.lu";"24 chaises";"";29;2024;"49.4719301";"6.0831731"
"Centres de jour";"3.1";"DUDELANGE";"Foyer de jour Villa Reebou";"104, rue de l'Hpital, L-3488 DUDELANGE";"foyer.dudelange@alzheimer.lu";"www.alzheimer.lu";"18 chaises";"";29;2024;"49.4709108";"6.0900247"
"Centres de jour";"3.11";"ESCH";"Foyer de jour Esprance";"51, rue Znon Bernard, L-4031 ESCH/ALZETTE";"foyer.esch@alzheimer.lu";"www.alzheimer.lu";"18 chaises";"";29;2024;"49.4921522";"5.9788401"
"Centres de jour";"3.12";"ESCH-SUR-ALZETTE";"Foyer de jour Bel-ge";"2-4, rue de l'Eau, L-4101 ESCH-SUR-ALZETTE";"belage@paiperleck.lu";"www.paiperleck.lu";"6 chaises";"";29;2024;"49.4955584";"5.9818952"
