"Section";"Numero";"Ville";"Nom";"Adresse";"Email";"Site.web";"Capacité";"Logements";"Page";"year";"lat";"lon"
"Structures d'hébergement";"1.1";"BELVAUX";"Rsidence Op der Waassertrap";"60, rue Waassertrap, L-4408 BELVAUX";"secretariat@cipa.sanem.lu";"www.cipa-sanem.lu";"120 lits";"120 chambres  1 lit";4;2024;"49.5087284";"5.9337107"
"Structures d'hébergement";"1.2";"BERBOURG";"Haaptmann's Schlass";"4, Brucherstrooss, L-6831 BERBOURG";"hmsb@elisabeth.lu";"www.elisabeth.lu";"151 lits";"151 chambres  1 lit";4;2024;"49.7349481";"6.3884199"
"Structures d'hébergement";"1.3";"BERTRANGE";"Les Parcs du Troisime ge";"3, Am Bongert, L-8081 BERTRANGE";"maisondesoins@p3a.lu";"www.p3a.lu";"119 lits";"73 chambres  1 lit + 24 appartements  1 lit";4;2024;"49.6164927";"6.0448822"
"Structures d'hébergement";"1.4";"BETTEMBOURG";"An de Wisen";"75, rue Charles Jacquinot, L-3241 BETTEMBOURG";"contact.andewisen.lu@sodexo.com";"www.sodexoseniors.lu";"146 lits";"146 chambres  1 lit";5;2024;"49.5129826";"6.1022927"
"Structures d'hébergement";"1.5";"BETTEMBOURG";"Foyer Ste Elisabeth";"4, rue de la Tannerie, L-3288 BETTEMBOURG";"robert.gindt@elisabeth.lu";"www.elisabeth.lu";"118 lits";"106 chambres  1 lit + 6 appartements  2 lits";5;2024;"49.5213145";"6.0967693"
"Structures d'hébergement";"1.6";"BISSEN";"Seniorenresidenz Am Park";"4-10, an der Bli, L-7796 BISSEN";"bissen@paiperleck.lu";"www.paiperleck.lu";"42 lits";"42 chambres  1 lit";5;2024;"49.7893224";"6.0638078"
"Structures d'hébergement";"1.7";"BOFFERDANGE";"SERVIOR  Am Park";"154, route de Luxembourg, L-7374 BOFFERDANGE";"am-park@servior.lu";"www.servior.lu";"132 lits";"74 chambres  1 lit + 29 chambres  2 lits";6;2024;"49.6895645";"6.1385823"
"Structures d'hébergement";"1.8";"CANACH";"Seniorenresidenz Am Wngert";"51, rue de Lenningen, L-5411 CANACH";"laurent.meunier@paiperleck.lu";"www.paiperleck.lu";"64 lits";"42 chambres  1 lit + 11 chambres  2 lits";6;2024;"49.6099861";"6.3301859"
"Structures d'hébergement";"1.9";"CLERVAUX";"Home pour personnes ges St Franois";"22, route de Marnach, L-9709 CLERVAUX";"clervaux@hppa.lu";"www.hppa.lu";"115 lits";"115 chambres  1 lit";6;2024;"50.0529433";"6.0242996"
"Structures d'hébergement";"1.1";"CLERVAUX";"Rsidence des Ardennes";"86, Grand-rue, L-9711 CLERVAUX";"info@residencedesardennes.com";"www.residencedesardennes.com";"111 lits";"105 chambres  1 lit + 3 chambres  2 lits";7;2024;"50.0575588";"6.0267103"
"Structures d'hébergement";"1.11";"CONSDORF";"Seniorie St Joseph Consdorf";"5, rue Burgkapp, L-6211 CONSDORF";"consdorf@zitha.lu";"www.zithasenior.lu";"88 lits";"88 chambres  1 lit";7;2024;"49.7803094";"6.3362874"
"Structures d'hébergement";"1.12";"CONTERN";"Seniorie Sainte Zithe Contern";"11, rue de Syren, L-5316 CONTERN";"contern@zitha.lu";"www.zithasenior.lu";"144 lits";"144 chambres  1 lit";7;2024;"49.5824688";"6.2252668"
