"name";"lat";"lon"
"Centre Hospitalier de Luxembourg";"49.6178599";"6.1013896"
"Sénologie";"49.631111";"6.1354215"
"Centre Hospitalier Émile Mayrisch";"49.5017034";"5.9815822"
"Hôpital de la Ville de Dudelange";"49.4705765";"6.0888279"
"CHL Eich";"49.6315715";"6.1355549"
"Clinique Sainte Marie";"49.5011587";"5.9858626"
"Centre de réhabilitation";"49.7591265";"5.8253207"
"Hôpital intercommunal de Steinfort";"49.6609477";"5.9125896"
"Hôpital Intercommunal Princesse Marie-Astrid";"49.5328423";"5.8867649"
"Centre hospitalier Neuro-Psychiatrique (CHNP)";"49.8429118";"6.0961166"
"Rehazenter";"49.6279127";"6.1737327"
"Centre Hospitalier du Nord";"49.8537244";"6.095601"
"Centre Hospitalier du Nord";"49.9654316";"5.934082"
"ZithaKlinik";"49.6037743";"6.1282814"
"Hôpital Kirchberg";"49.6324681";"6.176091"
