"Section";"Numero";"Ville";"Nom";"Adresse";"Email";"Site.web";"Capacité";"Logements";"Page";"year";"lat";"lon"
"Logements encadrés";"2.1";"BERTRANGE";"Rsidences du Domaine Schwall";"1, am Bongert, L-8081 BERTRANGE";"schwall@pt.lu";"";"51 lits";"27 studios  1 lit + 12 appartements  2 lits";22;2024;"49.6157629";"6.0459564"
"Logements encadrés";"2.2";"BEAUFORT";"Seniorenresidenz Petite Suisse";"89A, Grand-Rue, L-6310 BEAUFORT";"beaufort@paiperleck.lu";"www.paiperleck.lu";"96 lits";"48 appartements  2 lits";22;2024;"49.8415977";"6.2869361"
"Logements encadrés";"2.3";"BISSEN";"Seniorenresidenz Am Park";"4-10, an der Bli, L-7796 BISSEN";"bissen@paiperleck.lu";"www.paiperleck.lu";"40 lits";"19 appartements  2 lits + 2 chambres  1 lit";22;2024;"49.7893224";"6.0638078"
"Logements encadrés";"2.4";"CANACH";"Seniorenresidenz  Am Wngert";"51, rue de Lenningen, L-5411 CANACH";"info@paiperleck.lu";"www.paiperleck.lu";"84 lits";"64 chambres  1 lit et 10 appartements  2 lits";23;2024;"49.6099861";"6.3301859"
"Logements encadrés";"2.5";"ESCH-SUR-SRE";"Residenz Laanscht d'Sauer";"6, rue du Moulin, L-9650 ESCH-SUR-SRE";"esch-sauer.croix-rouge@help.lu";"www.croix-rouge.lu";"22 lits";"18 appartements  1 lit et 2 appartements  2 lits";23;2024;"49.9117657";"5.9364203"
"Logements encadrés";"2.6";"KAYL";"Rsidence du Val de Kayl";"26, rue de Ttange, L-3672 KAYL";"sandra.baldazzi@croix-rouge.lu";"www.croix-rouge.lu";"40 lits";"36 chambres  1 lit + 2 chambres  2 lits";23;2024;"49.4835502";"6.0432073"
"Logements encadrés";"2.7";"Luxembourg";"Fondation Flix Chom";"44, rue d'Eich, L-1460 Luxembourg";"secretariat@fchome.lu";"www.fchome.lu";"59 lits";"59 logements  1 lit";24;2024;"49.630479";"6.1332596"
"Logements encadrés";"2.8";"LUXEMBOURG";"Rsidence Grande-Duchesse Josphine-Charlotte (Konviktsgaard)";"11, avenue Marie-Thrse, L-2132 LUXEMBOURG";"konviktsgaart@vdl.lu";"www.konviktsgaart.lu";"162 lits";"7 chambres  2 lits";24;2024;"49.6059749";"6.121314"
"Logements encadrés";"2.9";"ROLLINGEN";"Blannenheem  Wisst Schleeschen";"47, rue de Luxembourg, L-7540 ROLLINGEN";"info@flb.lu";"www.flb.lu";"10 lits";"10 chambres  1 lit";24;2024;"49.7450638";"6.1147742"
"Logements encadrés";"2.1";"SCHENGEN";"Rsidence Les Jardins de Schengen";"2-4, Wistrooss, L-5445 SCHENGEN";"info@paiperleck.lu";"www.paiperleck.lu";"124 lits";"62 appartements  2 lits";25;2024;"49.4709886";"6.3640878"
"Logements encadrés";"2.11";"STRASSEN";"Centre rsidentiel et d'accueil pour personnes ges  Riedgen";"30A, rue H. Dunant, L-8024 STRASSEN";"pascale.konsbruck@sodexo.com";"www.sodexoseniors.lu";"60 lits";"36 appartements  1 lit + 12 appartements  2 lits";25;2024;"49.6203732";"6.0612081"
"Logements encadrés";"2.12";"TROISVIERGES";"SERVIOR Rsidence Seniors  Liewensbam";"12, rue Massen, L-9907 TROISVIERGES";"liewensbam@servior.lu";"www.servior.lu";"60 lits";"30 appartements  2 lits";25;2024;"50.1177249";"5.9951463"
"Logements encadrés";"2.13";"VIANDEN";"Rsidence Aline Mayrisch";"1C, rue Nigoart, L-9412 VIANDEN";"logementsvianden.croix-rouge@help.lu";"www.help.lu";"80 lits";"8 appartements  1 lit et 36 appartements  2 lits";26;2024;"49.9325033";"6.2183891"
"Logements encadrés";"2.14";"WASSERBILLIG";"Logement encadr Muselheem";"81-88, Esplanade de la Moselle, L-6337 WASSERBILLIG";"beate.weiler@croix-rouge.lu";"www.croix-rouge.lu";"82 lits";"41 appartements  2 lits";26;2024;"49.7086313";"6.4926465"
"Logements encadrés";"2.15";"WEIDINGEN";"Rsidence Eisknippchen";"17, rue des Vieilles Tanneries, L-9572 WEIDINGEN";"info@paiperleck.lu";"www.paiperleck.lu";"125 lits";"69 chambres  1 lit, 28 chambres  2 lits";26;2024;"49.9709818";"5.9400142"
