"time_period";"geo_id";"geographic_level";"age";"age_class";"sex";"obs_value";"pop_obs_value";"pop_age_obs_value";"ratio"
"2021";"807";"Wiltz";"Y55T59";"From 55 to 59 years";"Female";"252";"7697";"526";"47.9"
"2021";"202";"Differdange";"Y40T44";"From 40 to 44 years";"Female";"1032";"28532";"2088";"49.4"
"2021";"604";"Erpeldange-sur-Sûre";"Y30T34";"From 30 to 34 years";"Female";"82";"2435";"165";"49.7"
"2021";"_T";"Total";"Y85T89";"From 85 to 89 years";"Male";"2902";"643941";"7887";"36.8"
"2021";"1002";"Bech";"Y20T24";"From 20 to 24 years";"Male";"46";"1330";"90";"51.1"
"2021";"1008";"Waldbillig";"Y50T64";"From 50 to 64 years";"Male";"201";"1908";"384";"52.3"
"2021";"1206";"Schengen";"Y65T69";"From 65 to 69 years";"Total";"280";"5075";"280";"5.5"
"2021";"709";"Vichten";"Y_GE85";"85 years or over";"Total";"14";"1365";"14";"1.0"
"2021";"607";"Mertzig";"Y60T64";"From 60 to 64 years";"Female";"57";"2293";"131";"43.5"
"2021";"1008";"Waldbillig";"Y_GE100";"100 years or over";"Total";"0";"1908";"0";"0.0"
"2021";"1006";"Rosport - Mompach";"_T";"Total";"Total";"3638";"3638";"3638";"100.0"
"2021";"1101";"Betzdorf";"Y45T49";"From 45 to 49 years";"Female";"165";"4126";"334";"49.4"
"2021";"207";"Leudelange";"Y30T34";"From 30 to 34 years";"Male";"73";"2704";"155";"47.1"
"2021";"1206";"Schengen";"Y70T74";"From 70 to 74 years";"Female";"97";"5075";"206";"47.1"
"2021";"703";"Ell";"Y90T94";"From 90 to 94 years";"Total";"6";"1547";"6";"0.4"
"2021";"12";"Canton Remich";"Y_GE85";"85 years or over";"Female";"361";"23684";"544";"66.4"
"2021";"311";"Weiler-la-Tour";"Y55T59";"From 55 to 59 years";"Male";"92";"2501";"187";"49.2"
"2021";"402";"Bissen";"Y95T99";"From 95 to 99 years";"Male";"0";"3315";"1";"0.0"
"2021";"307";"Schuttrange";"Y10T14";"From 10 to 14 years";"Male";"148";"4306";"280";"52.9"
"2021";"708";"Useldange";"Y65T84";"From 65 to 84 years";"Female";"118";"2029";"227";"52.0"
"2021";"1005";"Echternach";"Y30T49";"From 30 to 49 years";"Male";"757";"5690";"1498";"50.5"
"2021";"1206";"Schengen";"Y85T89";"From 85 to 89 years";"Female";"30";"5075";"54";"55.6"
"2021";"106";"Koerich";"Y60T64";"From 60 to 64 years";"Female";"79";"2649";"156";"50.6"
"2021";"801";"Boulaide";"Y50T54";"From 50 to 54 years";"Total";"108";"1438";"108";"7.5"
"2021";"808";"Winseler";"Y80T84";"From 80 to 84 years";"Total";"23";"1420";"23";"1.6"
"2021";"609";"Schieren";"Y50T54";"From 50 to 54 years";"Female";"80";"2113";"147";"54.4"
"2021";"705";"Grosbous";"Y90T94";"From 90 to 94 years";"Male";"2";"1130";"5";"40.0"
"2021";"1001";"Beaufort";"Y5T9";"From 5 to 9 years";"Female";"92";"3004";"190";"48.4"
"2021";"3";"Canton Luxembourg";"Y80T84";"From 80 to 84 years";"Male";"1585";"197932";"3785";"41.9"
"2021";"8";"Canton Wiltz";"Y85T89";"From 85 to 89 years";"Total";"167";"18562";"167";"0.9"
"2021";"310";"Walferdange";"Y25T29";"From 25 to 29 years";"Female";"277";"8527";"527";"52.6"
"2021";"404";"Fischbach";"Y50T54";"From 50 to 54 years";"Male";"49";"1256";"93";"52.7"
"2021";"902";"Putscheid";"Y25T29";"From 25 to 29 years";"Female";"28";"1127";"62";"45.2"
"2021";"1002";"Bech";"Y30T34";"From 30 to 34 years";"Female";"40";"1330";"76";"52.6"
"2021";"1";"Canton Capellen";"Y65T69";"From 65 to 69 years";"Male";"1309";"51523";"2656";"49.3"
"2021";"101";"Dippach";"Y25T29";"From 25 to 29 years";"Male";"147";"4492";"280";"52.5"
"2021";"703";"Ell";"Y10T14";"From 10 to 14 years";"Total";"85";"1547";"85";"5.5"
"2021";"802";"Esch-sur-Sûre";"Y5T9";"From 5 to 9 years";"Male";"93";"2991";"170";"54.7"
"2021";"602";"Bourscheid";"Y90T94";"From 90 to 94 years";"Female";"3";"1686";"5";"60.0"
"2021";"213";"Sanem";"Y_GE100";"100 years or over";"Total";"1";"17964";"1";"0.0"
"2021";"606";"Feulen";"Y30T49";"From 30 to 49 years";"Male";"354";"2302";"707";"50.1"
"2021";"_T";"Total";"Y55T59";"From 55 to 59 years";"Male";"23285";"643941";"44664";"52.1"
"2021";"210";"Reckange-sur-Mess";"Y_GE85";"85 years or over";"Male";"17";"2684";"35";"48.6"
"2021";"409";"Mersch";"Y90T94";"From 90 to 94 years";"Male";"19";"10167";"87";"21.8"
"2021";"303";"Hesperange";"Y65T69";"From 65 to 69 years";"Total";"682";"15835";"682";"4.3"
"2021";"311";"Weiler-la-Tour";"Y70T74";"From 70 to 74 years";"Female";"55";"2501";"90";"61.1"
"2021";"1002";"Bech";"Y90T94";"From 90 to 94 years";"Total";"4";"1330";"4";"0.3"
"2021";"602";"Bourscheid";"Y55T59";"From 55 to 59 years";"Male";"65";"1686";"128";"50.8"
"2021";"901";"Tandel";"Y90T94";"From 90 to 94 years";"Male";"7";"2207";"10";"70.0"
"2021";"210";"Reckange-sur-Mess";"Y5T9";"From 5 to 9 years";"Female";"84";"2684";"161";"52.2"
"2021";"404";"Fischbach";"Y45T49";"From 45 to 49 years";"Female";"56";"1256";"107";"52.3"
"2021";"8";"Canton Wiltz";"Y_LT5";"Less than 5 years";"Female";"519";"18562";"1096";"47.4"
"2021";"1108";"Wormeldange";"Y75T79";"From 75 to 79 years";"Male";"46";"3055";"88";"52.3"
"2021";"710";"Wahl";"Y15T19";"From 15 to 19 years";"Female";"36";"1043";"62";"58.1"
"2021";"802";"Esch-sur-Sûre";"Y45T49";"From 45 to 49 years";"Male";"108";"2991";"217";"49.8"
"2021";"211";"Roeser";"Y_LT15";"Less than 15 years";"Female";"511";"6598";"1038";"49.2"
"2021";"808";"Winseler";"Y50T54";"From 50 to 54 years";"Female";"66";"1420";"136";"48.5"
"2021";"802";"Esch-sur-Sûre";"Y65T69";"From 65 to 69 years";"Total";"123";"2991";"123";"4.1"
"2021";"9";"Canton Vianden";"Y65T69";"From 65 to 69 years";"Male";"118";"5502";"228";"51.8"
"2021";"6";"Canton Diekirch";"Y50T64";"From 50 to 64 years";"Female";"3492";"34278";"7232";"48.3"
"2021";"9";"Canton Vianden";"Y95T99";"From 95 to 99 years";"Male";"2";"5502";"7";"28.6"
"2021";"501";"Clervaux";"Y25T29";"From 25 to 29 years";"Male";"204";"5751";"422";"48.3"
"2021";"108";"Mamer";"Y45T49";"From 45 to 49 years";"Female";"454";"10426";"945";"48.0"
"2021";"1205";"Remich";"Y95T99";"From 95 to 99 years";"Female";"10";"3819";"11";"90.9"
"2021";"708";"Useldange";"Y15T19";"From 15 to 19 years";"Male";"50";"2029";"106";"47.2"
"2021";"1207";"Stadtbredimus";"Y_GE100";"100 years or over";"Female";"1";"1971";"1";"100.0"
"2021";"801";"Boulaide";"Y20T24";"From 20 to 24 years";"Female";"33";"1438";"81";"40.7"
"2021";"205";"Frisange";"Y65T84";"From 65 to 84 years";"Female";"336";"4768";"666";"50.5"
"2021";"601";"Bettendorf";"Y80T84";"From 80 to 84 years";"Total";"59";"2943";"59";"2.0"
"2021";"1207";"Stadtbredimus";"Y60T64";"From 60 to 64 years";"Male";"75";"1971";"152";"49.3"
"2021";"1001";"Beaufort";"Y35T39";"From 35 to 39 years";"Male";"109";"3004";"230";"47.4"
"2021";"103";"Habscht";"Y30T34";"From 30 to 34 years";"Total";"356";"4918";"356";"7.2"
"2021";"901";"Tandel";"Y40T44";"From 40 to 44 years";"Female";"86";"2207";"152";"56.6"
"2021";"408";"Lorentzweiler";"Y65T84";"From 65 to 84 years";"Female";"370";"4420";"712";"52.0"
"2021";"102";"Garnich";"Y10T14";"From 10 to 14 years";"Male";"77";"2255";"133";"57.9"
"2021";"607";"Mertzig";"Y80T84";"From 80 to 84 years";"Female";"26";"2293";"44";"59.1"
"2021";"409";"Mersch";"Y5T9";"From 5 to 9 years";"Female";"279";"10167";"559";"49.9"
"2021";"11";"Canton Grevenmacher";"Y40T44";"From 40 to 44 years";"Total";"2465";"31682";"2465";"7.8"
"2021";"503";"Parc Hosingen";"Y80T84";"From 80 to 84 years";"Total";"60";"3834";"60";"1.6"
"2021";"4";"Canton Mersch";"Y80T84";"From 80 to 84 years";"Male";"275";"34652";"609";"45.2"
"2021";"11";"Canton Grevenmacher";"Y50T64";"From 50 to 64 years";"Male";"3473";"31682";"6813";"51.0"
"2021";"202";"Differdange";"Y5T9";"From 5 to 9 years";"Male";"859";"28532";"1635";"52.5"
"2021";"202";"Differdange";"Y_GE100";"100 years or over";"Total";"0";"28532";"0";"0.0"
"2021";"1206";"Schengen";"Y60T64";"From 60 to 64 years";"Total";"349";"5075";"349";"6.9"
"2021";"707";"Saeul";"Y35T39";"From 35 to 39 years";"Total";"94";"960";"94";"9.8"
"2021";"303";"Hesperange";"Y60T64";"From 60 to 64 years";"Male";"405";"15835";"832";"48.7"
"2021";"504";"Troisvierges";"Y15T29";"From 15 to 29 years";"Female";"306";"3463";"665";"46.0"
"2021";"1104";"Grevenmacher";"Y5T9";"From 5 to 9 years";"Female";"122";"5050";"267";"45.7"
"2021";"306";"Sandweiler";"Y10T14";"From 10 to 14 years";"Male";"127";"3716";"258";"49.2"
"2021";"1106";"Manternach";"Y_LT5";"Less than 5 years";"Male";"51";"2232";"125";"40.8"
"2021";"504";"Troisvierges";"Y15T19";"From 15 to 19 years";"Male";"107";"3463";"200";"53.5"
"2021";"11";"Canton Grevenmacher";"Y50T64";"From 50 to 64 years";"Total";"6813";"31682";"6813";"21.5"
"2021";"_T";"Total";"Y45T49";"From 45 to 49 years";"Female";"22540";"643941";"46205";"48.8"
"2021";"1101";"Betzdorf";"Y25T29";"From 25 to 29 years";"Male";"110";"4126";"214";"51.4"
"2021";"901";"Tandel";"Y10T14";"From 10 to 14 years";"Male";"73";"2207";"146";"50.0"
"2021";"1108";"Wormeldange";"Y40T44";"From 40 to 44 years";"Female";"101";"3055";"218";"46.3"
"2021";"208";"Mondercange";"Y45T49";"From 45 to 49 years";"Female";"199";"6979";"426";"46.7"
"2021";"306";"Sandweiler";"Y80T84";"From 80 to 84 years";"Female";"46";"3716";"71";"64.8"
"2021";"603";"Diekirch";"_T";"Total";"Male";"3629";"7143";"7143";"50.8"
