"","geographic.level","geo_id","STRUCTURE_NAME","GEO","SPECIFICATION","TIME_PERIOD","OBS_VALUE"
"1","Bascharage",NA,"Forest areas by canton and municipality","CM09001","C2",1995,18.8
"2","Bascharage",NA,"Forest areas by canton and municipality","CM09001","C2",2010,19.4
"3","Beaufort","1001","Forest areas by canton and municipality","CM06001","C2",1995,53.9
"4","Beaufort","1001","Forest areas by canton and municipality","CM06001","C2",2010,65.5
"5","Bech","1002","Forest areas by canton and municipality","CM06002","C2",2010,31.9
"6","Bech","1002","Forest areas by canton and municipality","CM06002","C2",1995,33.8
"7","Beckerich","0701","Forest areas by canton and municipality","CM03001","C2",2010,25
"8","Beckerich","0701","Forest areas by canton and municipality","CM03001","C2",1995,25.2
"9","Berdorf","1003","Forest areas by canton and municipality","CM06003","C2",2010,43.2
"10","Berdorf","1003","Forest areas by canton and municipality","CM06003","C2",1995,44.4
"11","Bertrange","0301","Forest areas by canton and municipality","CM11002","C2",2010,20
"12","Bertrange","0301","Forest areas by canton and municipality","CM11002","C2",1995,19.5
"13","Bettembourg","0201","Forest areas by canton and municipality","CM10001","C2",2010,26.8
"14","Bettembourg","0201","Forest areas by canton and municipality","CM10001","C2",1995,19.7
"15","Bettendorf","0601","Forest areas by canton and municipality","CM02001","C2",2010,37.8
"16","Bettendorf","0601","Forest areas by canton and municipality","CM02001","C2",1995,33.2
"17","Betzdorf","1101","Forest areas by canton and municipality","CM07001","C2",2010,26.9
"18","Betzdorf","1101","Forest areas by canton and municipality","CM07001","C2",1995,33.8
"19","Bissen","0402","Forest areas by canton and municipality","CM12002","C2",2010,44.2
"20","Bissen","0402","Forest areas by canton and municipality","CM12002","C2",1995,43.6
"21","Biwer","1102","Forest areas by canton and municipality","CM07002","C2",1995,19.7
"22","Biwer","1102","Forest areas by canton and municipality","CM07002","C2",2010,21.7
"23","Boevange-sur-Attert",NA,"Forest areas by canton and municipality","CM12003","C2",2010,23.7
"24","Boevange-sur-Attert",NA,"Forest areas by canton and municipality","CM12003","C2",1995,26.8
"25","Boulaide","0801","Forest areas by canton and municipality","CM05001","C2",1995,47.3
"26","Boulaide","0801","Forest areas by canton and municipality","CM05001","C2",2010,44.6
